Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2023-10-17,NORMAL DISTR PARTIAL HSA CHK PD 943536449 /WEB (Cash),NORMAL DISTR PARTIAL HSA CHK PD 943536449 /WEB (Cash),117.5,debit,Transfer,Health Savings Account,,
2023-10-16,YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY BLUE CHIP GROWTH FUND: CLASS K (FBGKX) (Cash),YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY BLUE CHIP GROWTH FUND: CLASS K (FBGKX) (Cash),10.42,debit,Buy,Health Savings Account,,
2023-10-16,CO CONTR CURRENT YR EMPLOYER CUR YR (Cash),CO CONTR CURRENT YR EMPLOYER CUR YR (Cash),41.67,credit,Deposit,Health Savings Account,,
2023-10-16,YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY FREEDOM INDX 2065 INST PREM (FFIKX) (Cash),YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY FREEDOM INDX 2065 INST PREM (FFIKX) (Cash),31.25,debit,Buy,Health Savings Account,,
2023-10-06,YOU SOLD FIDELITY FREEDOM INDX 2065 INST PREM (FFIKX) (Cash),YOU SOLD FIDELITY FREEDOM INDX 2065 INST PREM (FFIKX) (Cash),25.26,credit,Sell,Health Savings Account,,
2023-10-02,YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY FREEDOM INDX 2065 INST PREM (FFIKX) (Cash),YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY FREEDOM INDX 2065 INST PREM (FFIKX) (Cash),31.25,debit,Buy,Health Savings Account,,
2023-10-02,YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY BLUE CHIP GROWTH FUND: CLASS K (FBGKX) (Cash),YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY BLUE CHIP GROWTH FUND: CLASS K (FBGKX) (Cash),10.42,debit,Buy,Health Savings Account,,
2023-10-02,CO CONTR CURRENT YR EMPLOYER CUR YR (Cash),CO CONTR CURRENT YR EMPLOYER CUR YR (Cash),41.67,credit,Deposit,Health Savings Account,,
2023-09-29,DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),0.38,credit,Dividend & Cap Gains,Health Savings Account,,
2023-09-29,REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),0.38,debit,Investments,Health Savings Account,,
2023-09-18,YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY FREEDOM INDX 2065 INST PREM (FFIKX) (Cash),YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY FREEDOM INDX 2065 INST PREM (FFIKX) (Cash),31.25,debit,Buy,Health Savings Account,,
2023-09-18,CO CONTR CURRENT YR EMPLOYER CUR YR (Cash),CO CONTR CURRENT YR EMPLOYER CUR YR (Cash),41.67,credit,Deposit,Health Savings Account,,
2023-09-18,YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY BLUE CHIP GROWTH FUND: CLASS K (FBGKX) (Cash),YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY BLUE CHIP GROWTH FUND: CLASS K (FBGKX) (Cash),10.42,debit,Buy,Health Savings Account,,
2023-09-08,REINVESTMENT FIDELITY BLUE CHIP GROWTH FUND: CLASS K (FBGKX) (Cash),REINVESTMENT FIDELITY BLUE CHIP GROWTH FUND: CLASS K (FBGKX) (Cash),0.15,debit,Investments,Health Savings Account,,
2023-09-08,LONG-TERM CAP GAIN FIDELITY BLUE CHIP GROWTH FUND: CLASS K (FBGKX) (Cash),LONG-TERM CAP GAIN FIDELITY BLUE CHIP GROWTH FUND: CLASS K (FBGKX) (Cash),0.15,credit,Investments,Health Savings Account,,
2023-09-01,PARTIC CONTR CURRENT PARTICIPANT CUR YR (Cash),PARTIC CONTR CURRENT PARTICIPANT CUR YR (Cash),50.0,credit,Income,Health Savings Account,,
2023-09-01,CO CONTR CURRENT YR EMPLOYER CUR YR (Cash),CO CONTR CURRENT YR EMPLOYER CUR YR (Cash),41.67,credit,Deposit,Health Savings Account,,
2023-09-01,YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY BLUE CHIP GROWTH FUND: CLASS K (FBGKX) (Cash),YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY BLUE CHIP GROWTH FUND: CLASS K (FBGKX) (Cash),22.92,debit,Buy,Health Savings Account,,
2023-09-01,YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY FREEDOM INDX 2065 INST PREM (FFIKX) (Cash),YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY FREEDOM INDX 2065 INST PREM (FFIKX) (Cash),68.75,debit,Buy,Health Savings Account,,
2023-08-31,REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),0.19,debit,Investments,Health Savings Account,,
2023-08-31,DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),0.19,credit,Investments,Health Savings Account,,
2023-08-16,PARTIC CONTR CURRENT PARTICIPANT CUR YR (Cash),PARTIC CONTR CURRENT PARTICIPANT CUR YR (Cash),50.0,credit,Deposit,Health Savings Account,,
2023-08-16,CO CONTR CURRENT YR EMPLOYER CUR YR (Cash),CO CONTR CURRENT YR EMPLOYER CUR YR (Cash),41.67,credit,Deposit,Health Savings Account,,
2023-08-04,EXCHANGED TO FDRXX FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),EXCHANGED TO FDRXX FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),0.0,credit,Investments,Health Savings Account,,
